uid,name,phone,region_id,area_id,distributor_id,territory_id,points,routes,notes
R011,Retailer Eleven,0123456791,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,769d78cc-cefa-4ce5-9682-cc9c9382be5c,bae8b0d6-57ce-408d-9dc1-6d0870553927,28,Route K,Note 11
R012,Retailer Twelve,0123456792,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,4a3cb162-ffce-46d7-94fa-bc62259174b0,bae8b0d6-57ce-408d-9dc1-6d0870553927,33,Route L,Note 12
R013,Retailer Thirteen,0123456793,c8c3ed5b-d5af-4b79-839c-bf8096895f0e,72741089-45de-4a98-8e88-46ae6bfcd848,576f71a1-d21f-467a-bafd-6bf73f72a4da,42f1fa46-c8f6-43cc-819a-e4a4daaa6147,45,Route M,Note 13
R014,Retailer Fourteen,0123456794,c8c3ed5b-d5af-4b79-839c-bf8096895f0e,72741089-45de-4a98-8e88-46ae6bfcd848,576f71a1-d21f-467a-bafd-6bf73f72a4da,5d2ce337-a4ce-48dd-9850-4e0139d6a9dc,50,Route N,Note 14
R015,Retailer Fifteen,0123456795,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,769d78cc-cefa-4ce5-9682-cc9c9382be5c,bae8b0d6-57ce-408d-9dc1-6d0870553927,38,Route O,Note 15
R016,Retailer Sixteen,0123456796,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,4a3cb162-ffce-46d7-94fa-bc62259174b0,bae8b0d6-57ce-408d-9dc1-6d0870553927,42,Route P,Note 16
R017,Retailer Seventeen,0123456797,c8c3ed5b-d5af-4b79-839c-bf8096895f0e,72741089-45de-4a98-8e88-46ae6bfcd848,576f71a1-d21f-467a-bafd-6bf73f72a4da,42f1fa46-c8f6-43cc-819a-e4a4daaa6147,55,Route Q,Note 17
R018,Retailer Eighteen,0123456798,c8c3ed5b-d5af-4b79-839c-bf8096895f0e,72741089-45de-4a98-8e88-46ae6bfcd848,576f71a1-d21f-467a-bafd-6bf73f72a4da,5d2ce337-a4ce-48dd-9850-4e0139d6a9dc,60,Route R,Note 18
R019,Retailer Nineteen,0123456799,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,769d78cc-cefa-4ce5-9682-cc9c9382be5c,bae8b0d6-57ce-408d-9dc1-6d0870553927,48,Route S,Note 19
R020,Retailer Twenty,0123456800,441f4f6b-5cda-4239-904e-06ae22a6ef95,f97f79e5-6503-4ae8-82ef-a3ca7bc40fb9,4a3cb162-ffce-46d7-94fa-bc62259174b0,bae8b0d6-57ce-408d-9dc1-6d0870553927,52,Route T,Note 20
